Concept Name,Concept Description,Concept Question,Possible Responses,Response Guide,Response Mapping
Company Transactions,"This concept refers to any transactional events that are associated with the company mentioned in the text. These events could include sales, acquisitions, partnership agreements, or any financial dealings. The presence of these terms indicates the text belongs to the 'business' label.",Does the text mention any transactions related to a company?,"['major transaction', 'minor transaction', 'no transaction', 'uncertain']","{'major transaction': 'The text prominently reports a major transaction like merger, acquisition, capital investment, etc. involving a company.', 'minor transaction': 'The text mentions transactions such as sales, smaller agreements, deals, etc. involving a company but they are not the main focus.', 'no transaction': 'The text does not mention any type of company transactions.', 'uncertain': 'It is unclear from the text whether or not a company transaction is mentioned.'}","{'major transaction': 2, 'minor transaction': 1, 'no transaction': -1, 'uncertain': 0}"
Market Trend Discussion,"This concept refers to the presence of discussions or mentions about the trend in market segments such as stocks, commodities like gold, oil, or any other traded goods or resources. These discussions often involve changes in prices, predictions about future market movement, fluctuations in the market, and factors influencing these trends.",Does the text discuss trends in any market segment?,"['extensively', 'to some degree', 'not at all', 'uncertain']","{'extensively': 'The text is largely focused on discussing trends in a market or multiple markets. This may include specific prices, predictions, notable increases or decreases, or explaining external factors.', 'to some degree': 'While not the main focus, the text does mention and discuss trends in a market. These may be brief or lack in-depth analysis.', 'not at all': 'The text does not discuss market trends, or any mentions are extremely brief and provide no real insight.', 'uncertain': 'It is unclear or ambiguous whether the text is discussing market trends.'}","{'extensively': 2, 'to some degree': 1, 'not at all': -1, 'uncertain': 0}"
Mentions of Health and Medical Terms,"This concept measures the presence and prominence of medical and healthcare-related terms or discussions in the text. This could include references to diseases, health risks, medical treatments, healthcare practices, scientific studies on health matters, or other health-related topics.",How prominently does the text discuss health or medical-related topics?,"['prominent', 'minimal', 'none', 'uncertain']","{'prominent': 'The text extensively discusses health or medical-related topics. This could involve names of diseases, healthcare measures, medical treatments, or in-depth discussions on health or medical science.', 'minimal': 'The text contains some mention of health or medical-related topics, but these are not the main focus of the text.', 'none': 'The text does not discuss or mention any health or medical-related topics.', 'uncertain': 'It is difficult to determine if the text discusses health or medical-related topics, or the references made are vague or lack sufficient context.'}","{'prominent': 1, 'minimal': 0, 'none': -1, 'uncertain': 0}"
Mentions of Financial Trends,"This concept refers to mentions or discussions of financial trends in the text. These can range from fluctuating oil prices to stock market trends, from currency strength to trends in retail. Texts labelled 'business' often contain such elements.",Does the text mention or discuss any financial trends?,"['prominently', 'minimally', 'not at all', 'uncertain']","{'prominently': 'The text predominantly discusses or mentions financial trends. The topic forms a significant part of the text.', 'minimally': 'The text refers to financial trends but does not largely focus on them. They could either be mentioned in passing or form a minor part of the overall text.', 'not at all': 'The text does not mention or discuss any financial trends.', 'uncertain': 'It is difficult to determine if the text discusses or mentions financial trends. The text might be vague, ambiguous, or lack sufficient context.'}","{'prominently': 2, 'minimally': 1, 'not at all': -1, 'uncertain': 0}"
Industry References,"The 'Industry References' concept refers to the presence of terms or phrases related to specific industries, such as aviation, finance, technology, fashion, etc. In the context of the text, these terms may outline particular business activities, products, or trends in a specified industry. News articles focusing on industry-specific events or issues often include numerous terms and phrases related to that industry.",Does the text contain references to a specific industry?,"['prominent', 'minimal', 'none', 'uncertain']","{'prominent': 'The text contains several references to a specific industry, its activities, products, or trends form a major part of the article.', 'minimal': 'The text contains few references to a specific industry, its activities, products, or trends, but they do not form a major part of it.', 'none': 'The text does not contain any clear references to a specific industry, its activities, products, or trends.', 'uncertain': 'It is unclear whether the text contains references to a specific industry, its activities, products, or trends.'}","{'prominent': 1, 'minimal': 0, 'none': -1, 'uncertain': 0}"
Scientific Developments and Innovations,"This concept relates to the presence of terms, phrases, or discussions related to developments, breakthroughs, or innovations in scientific or technological fields. These could include introductions of new technologies or devices, scientific advancements, discoveries, innovative research, or futuristic tech projects. Texts under the 'sci/tech' label usually contain such elements.",Does the text discuss or mention any scientific developments or innovations?,"['Extensive', 'Minimal', 'None', 'Uncertain']","{'Extensive': 'The text extensively discusses or mentions scientific developments, breakthroughs, or innovative technology. This includes news on tech advancements, introduction of new devices, novel research findings, or substantial scientific projects.', 'Minimal': 'The text mentions scientific developments or innovations but not as the main focus or extensively. It might include passing references or vague mentions.', 'None': ""The text doesn't mention or discuss any scientific developments or innovations. It doesn't contain any reference to technological advancements, research breakthroughs, or innovative projects."", 'Uncertain': ""It's unclear whether the text discusses or mentions any scientific developments or innovations. The references, if any, might be ambiguous or lack enough context.""}","{'Extensive': 2, 'Minimal': 1, 'None': -1, 'Uncertain': 0}"
Mention of Technological Tools or Devices,"This concept captures the reference of any specific technological tools, gadgets, software, hardware, digital platforms, or systems in the text. This can range from the mention of popular tech devices to specific tools used in the tech industry. Articles in the 'sci/tech' category often contain such references.","Does the text mention any technological tool, device, software, or system?","['Extensive mention', 'Minimal mention', 'No mention', 'Uncertain']","{'Extensive mention': 'The text includes several mentions or detailed discussion about one or multiple technological tools, gadgets, software, hardware, digital platforms, or systems.', 'Minimal mention': 'The text references some technological tools, gadgets, software, hardware, digital platforms, or systems, but these mentions are brief or incidental.', 'No mention': 'The text does not contain any reference to technological tools, gadgets, software, hardware, digital platforms, or systems.', 'Uncertain': 'It is unclear or ambiguous whether the text mentions any technological tools, gadgets, software, hardware, digital platforms, or systems.'}","{'Extensive mention': 2, 'Minimal mention': 1, 'No mention': -1, 'Uncertain': 0}"
Mentions of Space Exploration,"This concept refers to the presence of terms, phrases, or discussions related to space exploration in the text. This can include references or mentions of spacecrafts, space missions, astronomical bodies, space technology, significant space events, or any related entities. Texts under the 'sci/tech' label often contain such elements.",Does the text discuss about space exploration or related terminologies?,"['Prominent mention', 'Minimal mention', 'Uncertain', 'Not mentioned']","{'Prominent mention': 'The text significantly discusses about space exploration, spacecrafts, missions, astronomical bodies or any related entities.', 'Minimal mention': 'The text only briefly mentions or refers to space exploration or related terminologies.', 'Not mentioned': 'The text does not mention anything related to space exploration.', 'Uncertain': 'It is difficult to determine if the text refers to the concept.'}","{'Prominent mention': 2, 'Minimal mention': 1, 'Not mentioned': -1, 'Uncertain': 0}"
International Policy References,"This concept looks at the presence of terms or discussions related to international policies in the text. This can include policy changes, disputes, agreements, or negotiations, involving countries or international organizations. The terms could be related to various policy domains including, but not limited to, trade, defense, environment, and human rights. Texts under the 'world' label can often contain such elements.",To what extent does the text discuss international policy issues?,"['Extensively', 'Minimally', 'Not at all', 'Uncertain']","{'Extensively': 'The text has a clear focus on international policy issues, frequently discussing terms or themes related to global policy debates, changes, or disputes.', 'Minimally': 'The text mentions international policy issues in passing or as an additional context, but they are not the main focus.', 'Not at all': 'The text does not refer or discuss any international policy issues.', 'Uncertain': 'The text may or may not contain references to international policy issues, but it is unclear or ambiguous.'}","{'Extensively': 1, 'Minimally': 0, 'Not at all': -1, 'Uncertain': 0}"
Sports Event Specificity,"This concept pertains to the extent to which the text contains specific details related to sports events. These details might include the names of players, teams, tournaments, points scored, game outcomes, and other event-specific details. Texts under the 'sports' label often contain such details.",Does the text contain specific details about a sports event?,"['Highly specific', 'Somewhat specific', 'Not specific', 'Uncertain']","{'Highly specific': 'The text is filled with specific details about a sports event, including players, teams, points scored, outcomes, etc.', 'Somewhat specific': ""The text contains some specific details about a sports event, but these don't dominate the content."", 'Not specific': 'The text does not contain specific details about a sports event.', 'Uncertain': ""It's unclear whether the text contains specific details about a sports event.""}","{'Highly specific': 2, 'Somewhat specific': 1, 'Not specific': -1, 'Uncertain': 0}"
Company Financials,"This concept refers to the instances where company-specific financial data, performance metrics, or significant financial events are mentioned in the text. This can include information about sales numbers, revenue, profit, loss, stock performance, financial settlements, etc. Text related to the 'business' category often contains such information.",Does the text contain prominent discussion or mention of specific company financial data or events?,"['Extensive', 'Minimal', 'None', 'Uncertain']","{'Extensive': 'The text contains detailed information or discussion about the financial data, metrics, or significant financial events of one or more companies.', 'Minimal': 'The text briefly mentions the financial data, performance, or events related to one or more companies, but lacks depth.', 'None': 'The text does not mention any company-specific financial data, metrics or significant financial events.', 'Uncertain': ""It's unclear if the mentioned details relate to company-specific financial data or events due to lack of context or specificity.""}","{'Extensive': 2, 'Minimal': 1, 'None': -2, 'Uncertain': 0}"
Mentions of Corporate Strategies,"This concept refers to the presence of references or discussions about specific corporate strategies, plans, or tactics in the text. This can include information about mergers, acquisitions, strategic partnerships, financial strategies, market strategies, growth plans, etc. Texts with the 'business' label often contain these elements.",Does the text contain references or discussions about corporate strategies or plans?,"['Extensive', 'Minimal', 'Not mentioned', 'Uncertain']","{'Extensive': 'The text thoroughly discusses or makes multiple references to specific corporate strategies, plans, or tactics.', 'Minimal': 'The text includes some references to corporate strategies, plans, or tactics, but they do not form a large part of the overall text.', 'Not mentioned': 'The text does not discuss or reference corporate strategies, plans, or tactics.', 'Uncertain': 'It is unclear if the text contains references or discussions about corporate strategies, plans, or tactics.'}","{'Extensive': 3, 'Minimal': 1, 'Not mentioned': -1, 'Uncertain': 0}"
Mentions of Science and Tech Innovations,"This concept refers to the presence of terms, phrases, or discussions related to innovations, breakthroughs, or advancements in the fields of science and technology. These could include references to new gadgets, software, pioneering scientific research, revolutionary tech ideas, or upcoming tech trends. Texts under the 'sci/tech' label often contain such elements.",Does the text mention any innovation or advancement in the field of science and technology?,"['Extensively', 'Minimally', 'Not at all', 'Uncertain']","{'Extensively': 'The text extensively discusses or mentions innovations, breakthroughs, or advancements in science or technology. These mentions form a major part of the text.', 'Minimally': 'The text refers to science or tech innovations only minimally. They do not form a significant part of the text.', 'Not at all': 'There are no mentions of science or tech innovations in the text.', 'Uncertain': 'It is unclear whether the text refers to any science or tech innovations. The references, if any, are vague or ambiguous.'}","{'Extensively': 2, 'Minimally': 1, 'Not at all': -1, 'Uncertain': 0}"
Market Fluctuations Terminology,"This concept considers terms and phrases that discuss market fluctuations, changes in stock or commodity prices, or financial market volatility. The language around these market changes is quite specific and commonly seen in 'business' articles.",Does this text use terms or phrases that discuss market fluctuations or financial market volatility?,"['Extensively', 'Minimally', 'Not at all', 'Uncertain']","{'Extensively': 'The text contains several instances of words or phrases that discuss or allude to market fluctuations, changing stock prices, or financial market volatility.', 'Minimally': 'The text contains one or a few mentions of market fluctuations, changing stock prices, or financial market volatility, but they do not represent the primary focus of the text.', 'Not at all': 'The text does not mention market fluctuations, changing stock prices, or financial market volatility at all.', 'Uncertain': 'It is unclear whether the text discusses market fluctuations, changing stock prices, or financial market volatility.'}","{'Extensively': 1, 'Minimally': -1, 'Not at all': -2, 'Uncertain': 0}"
Mentions of Economic Factors,"This concept measures the presence and prominence of economic factors or indicators discussed in the text. These could involve elements such as economic trends, GDP, unemployment rates, inflation, economic policies, etc. Texts under the 'business' label often feature discussions around such factors.",To what degree does the text refer to economic factors or indicators?,"['Extensively', 'Minimally', 'Not mentioned', 'Uncertain']","{'Extensively': 'The text prominently mentions and discusses one or more economic factors or indicators. The economic topic forms a significant portion of the overall content.', 'Minimally': 'The text contains one or few mentions of economic factors or indicators, however, the economic topic does not form a major portion of the content.', 'Not mentioned': 'The text does not refer to any specific economic factors or indicators.', 'Uncertain': ""It's uncertain or unclear whether the text contains a reference to economic factors or indicators due to lack of context or information.""}","{'Extensively': 1, 'Minimally': 0, 'Not mentioned': -1, 'Uncertain': 0}"
Specific Sports Terminologies,"This concept refers to the use and frequency of specific sports terminologies or jargon in the text. These include, but are not limited to, sports-specific maneuvers, tactics, rules, team or player names, specific matches or tournaments, playing positions etc. These terms often distinguish 'sports'-labelled texts from other categories.",Does the text contain specific sports terminologies and references?,"['Extensive', 'Moderate', 'Minimal', 'None']","{'Extensive': 'The text heavily uses specific sports terminology and references, making clear its association with sports.', 'Moderate': 'The text uses some sports terminology and references, but they do not constitute the major part of the text.', 'Minimal': 'The text contains very few sports terms or references, making it not directly identifiable as sports-related.', 'None': 'The text does not contain any sports terminologies or references.'}","{'Extensive': 2, 'Moderate': 1, 'Minimal': -1, 'None': -2}"
Mentions of Companies and Brands,"'Mentions of Companies and Brands' captures instances where the text mentions the name of a company, brand or product. This is especially useful for articles under the 'business' or 'sci/tech' labels which may discuss topics related to specific companies or their products.","Does the text mention a specific company, brand, or product?","['Extensively', 'Minimally', 'No mention', 'Uncertain']","{'Extensively': 'The text significantly revolves around one or multiple companies, brands, or products. It not only mentions the entity but also discusses it in detail.', 'Minimally': 'The text mentions a company, brand, or product, but the mention is brief and not the main focus of the overall text.', 'No mention': 'The text does not mention any specific company, brand, or product.', 'Uncertain': 'It is unclear if the text mentions a specific company, brand, or product, or the context is too vague to determine.'}","{'Extensively': 2, 'Minimally': 1, 'No mention': -1, 'Uncertain': 0}"
Names of Sports Personalities,"This concept refers to the presence of names of sports athletes, players, coaches, or any significant sports personalities. In texts labelled with 'sports', names of such personalities might be prominently found.",Does the text include the names of sports personalities?,"['extensive', 'minimal', 'none', 'uncertain']","{'extensive': 'Names of sports personalities are found frequently within the text.', 'minimal': 'Names of sports personalities are mentioned, but not prominently within the text.', 'none': 'The text does not include the names of any sports personalities.', 'uncertain': 'It is difficult to determine if any sports personalities are mentioned in the text.'}","{'extensive': 2, 'minimal': 1, 'none': 0, 'uncertain': -1}"
References to Tech Companies,"This concept captures instances when the text mentions the names of tech companies or brands. These references can help identify texts which belong to the 'sci/tech' label, as such texts often discuss topics related to specific tech companies or their products.",How prominently does the text mention tech companies or brands?,"['Extensively', 'Minimally', 'No mention', 'Uncertain']","{'Extensively': ""The text mentions tech companies or brands several times, or their mention is a key part of the text's subject matter."", 'Minimally': ""The text mentions tech companies or brands once or twice, but they do not form a major part of the text's subject matter."", 'No mention': 'The text does not mention any tech companies or brands.', 'Uncertain': 'It is unclear whether the text mentions tech companies or brands.'}","{'Extensively': 2, 'Minimally': 1, 'No mention': -1, 'Uncertain': 0}"
Presence of Technology Product Features,"This concept refers to the presence and prominence of mentions or discussions related to specific features, functionalities, or specifications of a tech product or device. This could include things like storage capacity, processing power, software capabilities, innovative features, etc. These details help in identifying texts under the 'sci/tech' label.","To what extent does the text discuss the features, functionalities, or specifications of a tech product or device?","['Extensively', 'Minimally', 'Not mentioned', 'Uncertain']","{'Extensively': 'The text predominantly discusses the features, functionalities, or specifications of a technology product, providing detailed information about these aspects.', 'Minimally': 'The text contains some mention of the features, functionalities, or specifications of a technology product, but these details are not the main focus of the text.', 'Not mentioned': 'There is no mention of the features, functionalities, or specifications of a technology product in the text.', 'Uncertain': ""It's unclear whether the text discusses the features, functionalities, or specifications of a technology product.""}","{'Extensively': 2, 'Minimally': 1, 'Not mentioned': -1, 'Uncertain': 0}"
