Concept Name,Concept Description,Concept Question,Possible Responses,Response Guide,Response Mapping
Emerging Technology References,"This concept relates to the specific lingo, keywords, or phrases that are generally used in context of emerging technology, digital transformation, cutting-edge innovations, or technological breakthroughs. It includes references to new technological advancements, pioneering researches, prototypes, etc.",To what extent do the emerging technology references appear in the text?,"['high', 'moderate', 'low', 'none']","{'high': 'The text discusses emerging technologies prominently, with multiple specific references to recent technological advancements, researches, prototypes, etc.', 'moderate': 'The text has some mentions of emerging technologies or efforts in digital transformation but is not the core focus of the text.', 'low': 'The text includes minimal mentions of emerging technologies, potentially incidental or as minor details.', 'none': 'The text does not mention emerging technologies or associated advancements at all.'}","{'high': 2, 'moderate': 1, 'low': -1, 'none': -2}"
Tech Company References,"'Tech Company References' refers to mentions of specific technology companies, technology brands, digital platforms, or prominent figures in the technology industry. These could include references to companies like 'Google', 'Apple', 'Microsoft', brands like 'iPhone', 'Windows', digital platforms like 'Facebook', 'Twitter', or industry figures like 'Elon Musk', 'Bill Gates'.","How frequently does the text refer to tech companies, brands, or industry personalities?","['numerous references', 'few references', 'no references', 'uncertain']","{'numerous references': 'The text frequently refers to tech companies, brands, or industry figures, indicating a strong link to the technology industry.', 'few references': 'The text mentions tech companies, brands, or industry figures a few times, suggesting a possible connection to the technology industry.', 'no references': 'The text does not mention any tech companies, brands, or industry figures, indicating less relevance to the technology industry.', 'uncertain': 'It is not clear whether the text refers to any tech companies, brands, or industry figures, indicating an uncertain connection to the technology sector.'}","{'numerous references': 3, 'few references': 2, 'no references': 0, 'uncertain': 1}"
Medical and Health References,"This concept refers to mentions or discussions related to medical and health topics in the text. This could include references to diseases, medication, treatment approaches, medical research, health practices, hospitals, surgeries or procedures, etc.",Does the text include references to medical or health-related topics?,"['high', 'moderate', 'low', 'none']","{'high': 'Numerous mentions or discussions related to medical or health topics exist in the text. The text might include specific terminologies, detailed elaborations, explicit descriptions, or extensive analysis related to medical or health-related topics.', 'moderate': 'There are some mentions or discussions related to medical or health topics in the text. These could be lesser in frequency, or might not delve into extensive details. They still contribute to the overall context or narrative of the text.', 'low': 'There are minimal or isolated mentions or discussions related to medical or health topics in the text. These references are not significant enough to shape the overall context or narrative of the text.', 'none': 'The text does not include any references or discussions related to medical or health topics.'}","{'high': 3, 'moderate': 2, 'low': 1, 'none': 0}"
Product/Service References,"Product/Service References, for the purpose of this concept, means mentions or discussions related to specific products or services, particularly within the tech industry. These could include software platforms, hardware devices, digital services, brand-specific models or versions, updates, features, functionalities, etc. Note that these are different from general technological terminology and are more focused on named products & services.",Does the text discuss or mention specific products or services in the tech industry?,"['Numerous mentions', 'A few mentions', 'No mentions', 'Uncertain']","{'Numerous mentions': 'Text includes multiple explicit references to specific products or services within the tech industry.', 'A few mentions': 'Text includes one or two mentions of specific products or services within the tech industry.', 'No mentions': 'Text does not mention any specific product or service within the tech industry.', 'Uncertain': 'It is difficult to determine if there are any mentions of specific products or services within the tech industry in the text.'}","{'Numerous mentions': 2, 'A few mentions': 1, 'No mentions': -1, 'Uncertain': 0}"
Mention of Financial Transactions or Market Activities,"This concept refers to mentions or discussions of financial transactions, business deals, market activities or economic activities in the text. It could include references to acquisitions, mergers, investments, financial losses or gains, stock market actions, corporate decisions, business plans, economic forecasts, or financial reviews etc.","To what extent does the text discuss specific financial transactions, economic activities or market-related actions?","['extensive discussion', 'moderate discussion', 'minimal discussion', 'no discussion', 'uncertain']","{'extensive discussion': 'The text revolve around specific financial transactions, economic activities or market actions. It provides detailed information and focuses on explaining or assessing these.', 'moderate discussion': 'The text makes several references to financial transactions, economic activities or market actions, but it is not the main focus of the discussion. These references are not detailed or only represent a part of what the text is discussing.', 'minimal discussion': 'The text has a few brief mentions of financial transactions, economic activities or market actions without a detailed explanation or focus on them.', 'no discussion': 'The text does not mention any financial transaction, economic activity or market action.', 'uncertain': 'It is difficult to determine whether or how the text discusses any financial transactions, economic activities or market actions.'}","{'extensive discussion': 2, 'moderate discussion': 1, 'minimal discussion': -1, 'no discussion': -2, 'uncertain': 0}"
Technological Innovation and Advancement Description,"This concept applies to texts that mention or describe new advancements and innovations in the field of technology. These could be groundbreaking research, pioneering technological products or applications, innovative technological theories, development of new software or hardware, digital transformation, etc.",Does the text mention or describe advancements or innovations in the field of technology?,"['extensive discussion', 'moderate discussion', 'minimal discussion', 'no discussion', 'uncertain']","{'extensive discussion': 'The text comprehensively discusses advancements or innovations in the field of technology. This might include providing significant information or in-depth elaboration on the described technology, its implications, its developers or organizations, the process of its development, etc.', 'moderate discussion': ""The text provides a partial discussion about advancements or innovations in the field of technology. This might involve mentioning the name or type of technology, brief description about it, etc., but doesn't provide comprehensive information or details."", 'minimal discussion': 'The text makes a minimal or passing reference to advancements or innovations in the field of technology. This might involve only stating the name or type of the new technology, or how it fits into a larger context, without any further explanation or detail.', 'no discussion': 'The text does not mention or discuss any advancements or innovations in the field of technology.', 'uncertain': 'The text is either unclear, vague, or lacks sufficient context to determine if it mentions or discusses advancements or innovations in the field of technology.'}","{'extensive discussion': 2, 'moderate discussion': 1, 'minimal discussion': -1, 'no discussion': -2, 'uncertain': 0}"
Mention of Highly Technical Subjects,"The 'Mention of Highly Technical Subjects' concept refers to explicit mentions or discussions of highly technical and specific subjects in the field of science, technology, and engineering. These might include discussions of complex scientific theories, intricate technological systems, advanced computation, precision engineering, high-tech robotics, etc.","Does the text involve discussion or mention of highly technical subjects in the field of science, technology, or engineering?","['highly technical', 'moderately technical', 'not technical', 'uncertain']","{'highly technical': 'The text discusses complex scientific theories, intricate technological systems, or subjects that require advanced technical knowledge to understand. It may contain technical jargons or complex technical terminologies.', 'moderately technical': 'The text discusses scientific, technological, or engineering subjects that are not overly complex or difficult to understand for a general audience. It might contain some technical terms or mentions.', 'not technical': ""The text does not discuss any highly technical subjects. It is written in a more general or layman's language, without the use of complex technical terminologies."", 'uncertain': ""It's unclear or uncertain if the text discusses highly technical subjects. The context might be missing or not enough to determine.""}","{'highly technical': 2, 'moderately technical': 1, 'not technical': -1, 'uncertain': 0}"
Business Activities and Strategies,"This concept refers to the mentions of various business activities, strategies, or operations in the text. These might include business terms such as 'profits', 'losses', 'revenue', 'sales', 'strategy', 'marketing', 'acquisition', 'customer base', 'branding', 'product launch', 'market share', etc. It also covers the mention of specific business models, commercial tactics, business expansion or downsizing, company mergers or splits, etc.","Does the text discuss specific business activities, strategies, or operations?","['extensive discussion', 'moderate discussion', 'minimal discussion', 'no discussion']","{'extensive discussion': 'The text extensively discusses various aspects of business activities, strategies, or operations with detailed business-specific terminology.', 'moderate discussion': 'The text has scattered mentions or a single focused discussion on business activities, strategies, or operations but lacks comprehensive details.', 'minimal discussion': ""There are very few, if any, brief mentions of business activities, strategies, or operations, and it doesn't form the central discussion."", 'no discussion': 'The text does not discuss business activities, strategies, or operations at all.'}","{'extensive discussion': 2, 'moderate discussion': 1, 'minimal discussion': -1, 'no discussion': -2}"
Science and Technology Figures References,"Science and Technology Figures References refers to the specific mention of notable individuals who have been influential in the field of science and technology. These could include scientists, researchers, engineers, innovators, entrepreneurs or business leaders from prominent science or tech companies.",Does the text contain references to notable figures in the field of science and technology?,"['Numerous references', 'Few references', 'No references', 'Uncertain']","{'Numerous references': 'The text contains multiple explicit references to notable individuals in the field of science or technology. ', 'Few references': 'The text contains one or two references to notable individuals in the field of science or technology. ', 'No references': 'The text does not contain any references to notable individuals in the field of science or technology. ', 'Uncertain': ""It's unclear whether the text contains references to notable figures in the field of science or technology, due to lack of context or ambiguous language.""}","{'Numerous references': 2, 'Few references': 1, 'No references': -1, 'Uncertain': 0}"
Business Company References,"The 'Business Company References' concept refers to explicit mentions or discussions of business enterprises, corporations, or companies operational in various sectors. These might be references to large conglomerates, small businesses, startup companies, or industry figures.","Does the text contain references to specific businesses, corporations, or companies?","['numerous references', 'few references', 'no references', 'uncertain']","{'numerous references': 'The text frequently mentions or discusses businesses, corporations, or companies, indicating a significant focus on business activities or subjects.', 'few references': 'The text includes some mentions of businesses, corporations, or companies, indicating a moderate reference or focus on business activities or subjects.', 'no references': 'The text does not include any mentions or discussions of businesses, corporations, or companies, indicating a lack of focus on business activities or subjects.', 'uncertain': 'It is difficult to determine whether there are any mentions or discussions of businesses, corporations, or companies in the text.'}","{'numerous references': 3, 'few references': 1, 'no references': -1, 'uncertain': 0}"
International Relations References,"International Relations References refer to mentions, discussions or insights related to relations between countries, foreign policy and diplomacy, international conflicts or cooperation, geopolitics, international bodies or institutions, international treaties, large-scale global projects, etc. These provide an understanding of international relations and geopolitics.",What level of discussion or reference to International Relations concepts is in the text?,"['extensive discussion', 'moderate discussion', 'minimal discussion', 'no discussion', 'uncertain']","{'extensive discussion': 'Text contains numerous explicit discussions or references to multiple aspects related to International Relations.', 'moderate discussion': 'Text contains some mentions or discussions related to International Relations aspects, not the main topic but higher than a passing reference.', 'minimal discussion': 'Text makes a passing reference or only mentions International Relations concepts once or twice.', 'no discussion': 'No reference or mention to International Relations concepts in the text.', 'uncertain': 'It is difficult to assert the extent of International Relations reference or discussion in the text.'}","{'extensive discussion': 3, 'moderate discussion': 2, 'minimal discussion': 1, 'no discussion': -1, 'uncertain': 0}"
World Leaders and Politicians References,"World Leaders and Politicians References refer to the mentions or discussions related to internationally recognized political figures, heads of states, or important politicians. This could include, but is not limited to, current and past presidents, prime ministers, political leaders, prominent political figures, ambassadors, diplomats, candidates in major elections etc.",Does the text mention prominent politicians or world leaders?,"['high', 'moderate', 'low', 'none']","{'high': 'The text contains numerous references or discussions related to world leaders, politicians, or prominent political figures.', 'moderate': 'The text contains a few references or discussions related to world leaders, politicians, or prominent political figures.', 'low': 'The text contains minimal references or discussions related to world leaders, politicians, or prominent political figures.', 'none': 'The text does not mention any world leaders, politicians, or prominent political figures at all.'}","{'high': 3, 'moderate': 2, 'low': 1, 'none': 0}"
Scientific Discoveries References,"This concept refers to mentions or discussions related to significant scientific discoveries, breakthroughs, or advancements in various fields of science. This could include references to novel research findings, new theories, ground-breaking discoveries, unexplained phenomena, etc.",What does the text say about scientific discoveries or groundbreaking scientific advancements?,"['extensive discussion', 'moderate discussion', 'minimal discussion', 'no discussion', 'uncertain']","{'extensive discussion': 'The text heavily focuses on significant scientific discoveries, new theories or ground-breaking advancements. Such texts often contain multiple references and detailed discussion on these topics.', 'moderate discussion': 'The text contains references to scientific discoveries or advancements, however, these are not the main focus of the text and the discussion is not very detailed.', 'minimal discussion': 'The text only has minimal or vague references to scientific discoveries or advancements. These references contribute very little to the overall content of the text.', 'no discussion': 'The text does not mention scientific discoveries or advancements at all.', 'uncertain': 'It is difficult to determine if the text discusses scientific discoveries or advancements due to lack of context, ambiguous phrasing or other reasons.'}","{'extensive discussion': 3, 'moderate discussion': 2, 'minimal discussion': 1, 'no discussion': -2, 'uncertain': 0}"
World Affairs Discussion,"This concept refers to explicit mentions or discussions related to global affairs, international relations, geopolitical dynamics, global issues or regional matters. This could include but not limited to international conflicts, global cooperation, war situations, treaties, diplomacy, international events, etc. The idea is to capture the level of content focused on world affairs or matters of global significance.",How much of the text pertains to global dynamics or world affairs?,"['extensive discussion', 'moderate discussion', 'minimal discussion', 'no discussion', 'uncertain']","{'extensive discussion': 'The text mainly revolves around global matters, international relations, or world affairs with frequent mentions and intricate details. The majority of the content is dedicated to discussing these themes.', 'moderate discussion': 'The text has a fair amount of content that discusses global matters, international relations, or world affairs, although it might not be the main topic of the text.', 'minimal discussion': ""The text may include slight references to global matters, international relations, or world affairs, but these aren't the focus of the discussion."", 'no discussion': 'There are no obvious mentions or discussions related to global matters, international relations, or world affairs in the text.', 'uncertain': ""There's insufficient context or information in the text to determine whether it includes discussions on global matters, international relations, or world affairs.""}","{'extensive discussion': 2, 'moderate discussion': 1, 'minimal discussion': -1, 'no discussion': -2, 'uncertain': 0}"
Space and Technology Keywords,"'Space and Technology Keywords' refers to the specific lingo, terms, or phrases that are commonly associated with space science, technology or innovation news. This may include words like 'NASA', 'satellite', 'planet', 'orbit', 'microchip', 'AI', 'data' etc.",Does the text include Space and Technology related keywords?,"['high', 'moderate', 'low', 'uncertain']","{'high': 'The text contains multiple space and technology keywords which could indicate a focus on technological or space science topics.', 'moderate': 'The text contains some space and technology keywords but not excessively, indicating the text topic may be somewhat related to space or technology.', 'low': 'The text contains few or no space and technology keywords indicating the text focus is likely not related to space or technology.', 'uncertain': 'It is not clear from the text if there are any space and technology keywords.'}","{'high': 2, 'moderate': 1, 'low': -1, 'uncertain': 0}"
Business Operations and Market Activities,"This concept refers to explicit mentions or discussions related to business operations, market activities, strategies, transactions, or economic activities in the text. This could include references to corporate decision-making, financial losses or gains, mergers, sales forecasts, investment strategies, market trends, etc. The idea is to capture the level of content focusing on business operations or economy.",What does the text say about business operations or market activities?,"['extensive', 'moderate', 'minimal', 'none']","{'extensive': 'The text extensively discusses or mentions business operations or market activities, with these topics being central to the discussion.', 'moderate': 'The text mentions business operations or market activities in a moderate capacity, but these topics are not central to the discussion.', 'minimal': 'The text has minimal references to business operations or market activities, with only slight mentions or indirect references.', 'none': 'The text does not discuss or mention business operations or market activities at all.'}","{'extensive': 3, 'moderate': 2, 'minimal': 1, 'none': 0}"
Economic Outcome Mention,"The term 'Economic Outcome Mention' refers to any references or discussions about the results of a business decision, financial operation or economic strategy in the text. This could include mentions of profit, revenue, growth, market shares, financial losses or gains, downsizing, layoffs, factory closure, economic recession or boom etc.",Does the text contain any significant mention of economic outcomes or results?,"['extensive', 'moderate', 'minimal', 'none']","{'extensive': 'The text has a prominent focus on economic outcomes or results. This includes detailed discussions or frequent mentions of financial performance, profits, losses, market shares, or other economic results.', 'moderate': 'The text has some references to economic outcomes but these are not the main focus of the text. This could include a few mentions or brief discussions of financial performance or outcomes.', 'minimal': 'The text rarely mentions economic outcomes or results. There might be one or two passing mentions of financial performance but they are not a significant part of the discussion.', 'none': 'The text does not mention any economic outcome or result.'}","{'extensive': 3, 'moderate': 2, 'minimal': 1, 'none': 0}"
Business Market Dynamics,"This refers to specific terms, phrases or ideas associated with business market dynamics. This includes discussions about market trends, competition, market share, product differentiation, business cycles, supply and demand forces, market equilibrium and other elements that characterize the changes and maneuvers in a business environment.",How much does the text mention or discuss aspects related to business market dynamics?,"['extensive', 'moderate', 'minimal', 'no mention']","{'extensive': 'In depth discussion about business market dynamics elements. The text uses multiple specific terms or discusses at length about dynamics such as market trends, competition, market share etc.', 'moderate': ""The text makes mention of business market dynamics but either doesn't go into detail or the mentions are few."", 'minimal': 'The text makes scarce mention of business market dynamics, with only one or two subtle references.', 'no mention': 'The text does not mention or discuss aspects related to business market dynamics.'}","{'extensive': 3, 'moderate': 2, 'minimal': 1, 'no mention': 0}"
Space and Astronomy References,"Space and Astronomy References include explicit mentions or discussions related to astronomy, celestial bodies, space missions, extraterrestrial phenomena, and the universe. This could include references to stars, planets, galaxies, spacecrafts, astronauts, observatories, telescopes, etc. This concept is expected to be particularly relevant for news articles pertaining to the 'sci/tech' category.",Does the text make reference to space or astronomical objects or phenomena?,"['numerous references', 'few references', 'no references', 'uncertain']","{'numerous references': 'The article contains multiple explicit references to space, astronomical phenomena, or celestial bodies. There are several different points, facts, or instances tied to space and astronomy throughout the text.', 'few references': 'The article contains one or few brief mentions or references towards space or astronomical themes, but they are not the central focus of the text.', 'no references': 'The article does not contain any mentions of space, astronomical objects or phenomena.', 'uncertain': 'It is unclear whether the text makes reference to space or astronomical phenomena, or the context provided is not sufficient to determine this.'}","{'numerous references': 2, 'few references': 1, 'no references': -1, 'uncertain': 0}"
Economic Indicators References,"Economic Indicators References refers to the specific lingo, terms, or phrases that are commonly associated with economic markers such as GDP, inflation rate, unemployment rate, consumer price index, interest rates, stock market performance, forex rates, etc. These indicators provide a snapshot of a country's economic performance.",How frequently are economic indicators referenced in the text?,"['numerous references', 'few references', 'no references', 'uncertain']","{'numerous references': ""The text contains multiple explicit references to economic indicators. For instance, the text may mention multiple aspects like 'GDP growth', 'interest rate cut', 'unemployment rise', 'stock market boom', etc."", 'few references': ""The text contains a few explicit references to economic indicators. For example, the text might mention one or two aspects such as 'economic slowdown', 'forex rate fluctuation', etc."", 'no references': 'The text does not mention any economic indicators. It is devoid of references to economic performance markers.', 'uncertain': 'It is difficult to determine whether there are any references to economic indicators in the text. The text might be unclear, ambiguous, or lack enough context.'}","{'numerous references': 2, 'few references': 1, 'no references': -1, 'uncertain': 0}"
